Group,Heart Rate
Runners,119
Runners,84
Runners,89
Runners,119
Runners,127
Runners,111
Runners,115
Runners,109
Runners,111
Runners,120
Runners,105
Runners,104
Runners,94
Runners,126
Runners,113
Runners,141
Runners,116
Runners,104
Runners,82
Runners,164
Runners,119
Runners,110
Runners,109
Runners,106
Runners,125
Runners,106
Runners,108
Runners,122
Runners,145
Runners,115
Runners,110
Runners,92
Runners,114
Runners,121
Runners,123
Runners,128
Runners,126
Runners,119
Runners,119
Runners,121
Runners,115
Runners,118
Runners,106
Runners,128
Runners,95
Runners,126
Runners,112
Runners,118
Runners,95
Runners,114
Runners,109
Runners,136
Runners,129
Runners,139
Runners,150
Runners,112
Runners,127
Runners,126
Runners,107
Runners,117
Runners,96
Runners,135
Runners,116
Runners,111
Runners,129
Runners,130
Runners,109
Runners,100
Runners,118
Runners,133
Runners,122
Runners,144
Runners,151
Runners,89
Runners,128
Runners,140
Runners,94
Runners,126
Runners,142
Runners,121
Runners,125
Runners,116
Runners,107
Runners,126
Runners,95
Runners,134
Runners,100
Runners,95
Runners,144
Runners,108
Runners,114
Runners,121
Runners,105
Runners,78
Runners,102
Runners,118
Runners,137
Runners,122
Runners,106
Runners,139
Runners,114
Runners,110
Runners,128
Runners,98
Runners,100
Runners,99
Runners,103
Runners,122
Runners,115
Runners,123
Runners,107
Runners,106
Runners,113
Runners,134
Runners,126
Runners,149
Runners,147
Runners,120
Runners,141
Runners,124
Runners,116
Runners,112
Runners,132
Runners,97
Runners,80
Runners,128
Runners,106
Runners,109
Runners,100
Runners,128
Runners,128
Runners,95
Runners,115
Runners,103
Runners,98
Runners,85
Runners,113
Runners,123
Runners,102
Runners,126
Runners,106
Runners,105
Runners,132
Runners,109
Runners,131
Runners,105
Runners,108
Runners,122
Runners,128
Runners,132
Runners,85
Runners,116
Runners,88
Runners,134
Runners,126
Runners,87
Runners,109
Runners,107
Runners,121
Runners,138
Runners,117
Runners,121
Runners,112
Runners,119
Runners,106
Runners,126
Runners,86
Runners,108
Runners,124
Runners,122
Runners,94
Runners,146
Runners,111
Runners,100
Runners,141
Runners,122
Runners,117
Runners,120
Runners,106
Runners,123
Runners,139
Runners,100
Runners,150
Runners,111
Runners,108
Runners,97
Runners,124
Runners,147
Runners,102
Runners,98
Runners,128
Runners,92
Runners,124
Runners,111
Runners,135
Runners,140
Runners,117
Runners,94
Runners,111
Runners,88
Runners,100
Runners,120
Runners,93
Runners,107
Runners,138
Runners,96
Runners,107
Runners,119
Runners,99
Runners,102
Runners,87
Runners,88
Runners,80
Runners,120
Runners,104
Runners,110
Runners,127
Runners,112
Runners,96
Runners,87
Runners,94
Runners,81
Runners,116
Runners,102
Runners,102
Runners,98
Runners,97
Runners,103
Runners,97
Runners,101
Runners,86
Runners,92
Runners,119
Runners,121
Runners,103
Runners,98
Runners,132
Runners,93
Runners,105
Runners,116
Runners,93
Runners,114
Runners,97
Runners,128
Runners,98
Runners,107
Runners,105
Runners,95
Runners,104
Runners,86
Runners,102
Runners,95
Runners,83
Runners,78
Runners,96
Runners,110
Runners,101
Runners,107
Runners,113
Runners,98
Runners,91
Runners,92
Runners,113
Runners,88
Runners,97
Runners,96
Runners,112
Runners,130
Runners,105
Runners,97
Runners,90
Runners,124
Runners,117
Runners,99
Runners,102
Runners,97
Runners,108
Runners,125
Runners,107
Runners,108
Runners,103
Runners,108
Runners,123
Runners,127
Runners,102
Runners,114
Runners,109
Runners,116
Runners,95
Runners,102
Runners,125
Runners,103
Runners,121
Runners,89
Runners,111
Runners,98
Runners,101
Runners,99
Runners,108
Runners,100
Runners,102
Runners,120
Runners,98
Runners,108
Runners,94
Runners,85
Runners,106
Runners,126
Runners,129
Runners,118
Runners,93
Runners,105
Runners,100
Runners,100
Runners,98
Runners,116
Runners,109
Runners,100
Runners,127
Runners,80
Runners,109
Runners,98
Runners,97
Runners,126
Runners,82
Runners,99
Runners,90
Runners,94
Runners,112
Runners,114
Runners,106
Runners,114
Runners,96
Runners,93
Runners,111
Runners,110
Runners,115
Runners,102
Runners,103
Runners,116
Runners,115
Runners,95
Runners,103
Runners,112
Runners,127
Runners,119
Runners,118
Runners,104
Runners,114
Runners,96
Runners,126
Runners,104
Runners,87
Runners,104
Runners,105
Runners,104
Runners,94
Runners,79
Runners,109
Runners,99
Runners,83
Runners,106
Runners,109
Runners,118
Runners,106
Runners,95
Runners,102
Runners,91
Runners,88
Runners,93
Runners,119
Runners,109
Runners,111
Runners,146
Runners,99
Runners,92
Runners,117
Runners,115
Runners,103
Runners,98
Runners,83
Runners,87
Runners,109
Runners,96
Runners,111
Runners,97
Runners,96
Runners,101
Runners,93
Runners,119
Runners,103
Runners,69
Runners,104
Runners,117
Runners,95
Runners,92
Runners,100
Runners,112
Runners,97
Runners,89
Control,159
Control,183
Control,140
Control,140
Control,125
Control,155
Control,148
Control,132
Control,158
Control,136
Control,154
Control,169
Control,147
Control,183
Control,167
Control,151
Control,166
Control,134
Control,131
Control,164
Control,164
Control,169
Control,127
Control,126
Control,141
Control,163
Control,152
Control,150
Control,151
Control,162
Control,148
Control,162
Control,136
Control,134
Control,133
Control,110
Control,168
Control,140
Control,191
Control,137
Control,144
Control,163
Control,145
Control,149
Control,148
Control,141
Control,142
Control,145
Control,166
Control,162
Control,111
Control,150
Control,175
Control,162
Control,151
Control,142
Control,127
Control,160
Control,138
Control,141
Control,154
Control,175
Control,168
Control,173
Control,151
Control,139
Control,144
Control,145
Control,175
Control,147
Control,143
Control,105
Control,182
Control,157
Control,135
Control,150
Control,146
Control,151
Control,143
Control,162
Control,161
Control,155
Control,154
Control,176
Control,152
Control,135
Control,118
Control,132
Control,166
Control,143
Control,131
Control,136
Control,168
Control,148
Control,139
Control,132
Control,155
Control,145
Control,125
Control,153
Control,156
Control,145
Control,121
Control,126
Control,140
Control,143
Control,145
Control,146
Control,163
Control,162
Control,154
Control,151
Control,138
Control,156
Control,152
Control,163
Control,160
Control,130
Control,166
Control,177
Control,148
Control,170
Control,169
Control,131
Control,168
Control,161
Control,132
Control,135
Control,144
Control,152
Control,154
Control,136
Control,144
Control,162
Control,136
Control,115
Control,108
Control,167
Control,133
Control,118
Control,160
Control,160
Control,137
Control,137
Control,143
Control,140
Control,145
Control,134
Control,142
Control,146
Control,142
Control,164
Control,164
Control,196
Control,154
Control,143
Control,143
Control,127
Control,146
Control,136
Control,135
Control,157
Control,165
Control,173
Control,157
Control,155
Control,138
Control,146
Control,147
Control,138
Control,123
Control,170
Control,165
Control,151
Control,166
Control,142
Control,114
Control,107
Control,170
Control,150
Control,142
Control,143
Control,132
Control,125
Control,152
Control,132
Control,136
Control,153
Control,159
Control,160
Control,140
Control,142
Control,150
Control,125
Control,124
Control,136
Control,157
Control,152
Control,129
Control,169
Control,127
Control,99
Control,157
Control,102
Control,97
Control,122
Control,128
Control,136
Control,142
Control,127
Control,127
Control,157
Control,125
Control,113
Control,131
Control,114
Control,143
Control,133
Control,143
Control,128
Control,137
Control,143
Control,134
Control,107
Control,137
Control,153
Control,95
Control,144
Control,134
Control,129
Control,131
Control,152
Control,109
Control,95
Control,96
Control,134
Control,131
Control,128
Control,115
Control,125
Control,156
Control,134
Control,102
Control,161
Control,130
Control,169
Control,91
Control,146
Control,115
Control,120
Control,97
Control,131
Control,152
Control,118
Control,112
Control,77
Control,123
Control,122
Control,135
Control,90
Control,119
Control,124
Control,133
Control,153
Control,112
Control,128
Control,112
Control,128
Control,155
Control,123
Control,116
Control,138
Control,124
Control,155
Control,96
Control,149
Control,128
Control,115
Control,105
Control,157
Control,124
Control,125
Control,150
Control,139
Control,125
Control,139
Control,137
Control,128
Control,115
Control,114
Control,145
Control,143
Control,133
Control,114
Control,109
Control,108
Control,145
Control,140
Control,128
Control,129
Control,130
Control,152
Control,110
Control,106
Control,130
Control,113
Control,129
Control,161
Control,143
Control,164
Control,134
Control,122
Control,138
Control,125
Control,134
Control,149
Control,126
Control,124
Control,136
Control,137
Control,125
Control,130
Control,172
Control,162
Control,130
Control,127
Control,128
Control,115
Control,143
Control,121
Control,153
Control,119
Control,143
Control,132
Control,108
Control,125
Control,133
Control,119
Control,126
Control,146
Control,150
Control,133
Control,115
Control,157
Control,158
Control,102
Control,117
Control,138
Control,138
Control,146
Control,127
Control,116
Control,140
Control,150
Control,114
Control,134
Control,168
Control,143
Control,158
Control,151
Control,142
Control,129
Control,121
Control,118
Control,136
Control,134
Control,119
Control,144
Control,132
Control,124
Control,95
Control,120
Control,118
Control,133
Control,107
Control,130
Control,139
Control,120
Control,131
Control,149
Control,150
Control,115
Control,142
Control,154
Control,129
Control,134
Control,131
Control,134
Control,108
Control,144
Control,120
Control,127
Control,160
Control,152
Control,137
Control,109
Control,121
Control,135
Control,134
Control,127